variante,tamanho_chunk,N,K,numero_threads,tempo
1,1,100000,20,1,0.148683
1,1,100000,20,1,0.147062
1,1,100000,20,1,0.147359
1,1,100000,20,1,0.149036
1,1,100000,20,1,0.148506
1,1,100000,20,2,0.078462
1,1,100000,20,2,0.078336
1,1,100000,20,2,0.078510
1,1,100000,20,2,0.078767
1,1,100000,20,2,0.078588
1,1,100000,20,4,0.080646
1,1,100000,20,4,0.079659
1,1,100000,20,4,0.079795
1,1,100000,20,4,0.080380
1,1,100000,20,4,0.079277
1,1,100000,20,8,0.080330
1,1,100000,20,8,0.085273
1,1,100000,20,8,0.079738
1,1,100000,20,8,0.080754
1,1,100000,20,8,0.081364
1,1,100000,20,16,0.079506
1,1,100000,20,16,0.080121
1,1,100000,20,16,0.093773
1,1,100000,20,16,0.092886
1,1,100000,20,16,0.094091
1,1,100000,24,1,1.105097
1,1,100000,24,1,0.910386
1,1,100000,24,1,0.918776
1,1,100000,24,1,1.103116
1,1,100000,24,1,0.932889
1,1,100000,24,2,0.481183
1,1,100000,24,2,0.500713
1,1,100000,24,2,0.575710
1,1,100000,24,2,0.578329
1,1,100000,24,2,0.516702
1,1,100000,24,4,0.471361
1,1,100000,24,4,0.473755
1,1,100000,24,4,0.501096
1,1,100000,24,4,0.552979
1,1,100000,24,4,0.550750
1,1,100000,24,8,0.552674
1,1,100000,24,8,0.554456
1,1,100000,24,8,0.556590
1,1,100000,24,8,0.484713
1,1,100000,24,8,0.474609
1,1,100000,24,16,0.473430
1,1,100000,24,16,0.531903
1,1,100000,24,16,0.556352
1,1,100000,24,16,0.556126
1,1,100000,24,16,0.482379
1,1,100000,28,1,5.355986
1,1,100000,28,1,5.832159
1,1,100000,28,1,5.470131
1,1,100000,28,1,5.372097
1,1,100000,28,1,5.962814
1,1,100000,28,2,3.074525
1,1,100000,28,2,3.099180
1,1,100000,28,2,3.074843
1,1,100000,28,2,3.263829
1,1,100000,28,2,3.113865
1,1,100000,28,4,3.321905
1,1,100000,28,4,3.317668
1,1,100000,28,4,3.324670
1,1,100000,28,4,3.314780
1,1,100000,28,4,3.314253
1,1,100000,28,8,3.355298
1,1,100000,28,8,3.335867
1,1,100000,28,8,3.333602
1,1,100000,28,8,3.388564
1,1,100000,28,8,3.335970
1,1,100000,28,16,3.324593
1,1,100000,28,16,3.338659
1,1,100000,28,16,3.326362
1,1,100000,28,16,3.324230
1,1,100000,28,16,3.334366
1,1,500000,20,1,0.856507
1,1,500000,20,1,0.737417
1,1,500000,20,1,0.735737
1,1,500000,20,1,0.736927
1,1,500000,20,1,0.768312
1,1,500000,20,2,0.477224
1,1,500000,20,2,0.473499
1,1,500000,20,2,0.468172
1,1,500000,20,2,0.395134
1,1,500000,20,2,0.402619
1,1,500000,20,4,0.389448
1,1,500000,20,4,0.411027
1,1,500000,20,4,0.459749
1,1,500000,20,4,0.455596
1,1,500000,20,4,0.483005
1,1,500000,20,8,0.459921
1,1,500000,20,8,0.464244
1,1,500000,20,8,0.460368
1,1,500000,20,8,0.455785
1,1,500000,20,8,0.463507
1,1,500000,20,16,0.462558
1,1,500000,20,16,0.457545
1,1,500000,20,16,0.460599
1,1,500000,20,16,0.456400
1,1,500000,20,16,0.455394
1,1,500000,24,1,4.720499
1,1,500000,24,1,4.425050
1,1,500000,24,1,4.769110
1,1,500000,24,1,4.688582
1,1,500000,24,1,4.829828
1,1,500000,24,2,2.537001
1,1,500000,24,2,2.778767
1,1,500000,24,2,2.526418
1,1,500000,24,2,2.776312
1,1,500000,24,2,2.802564
1,1,500000,24,4,2.740166
1,1,500000,24,4,2.742866
1,1,500000,24,4,2.740719
1,1,500000,24,4,2.757487
1,1,500000,24,4,2.753441
1,1,500000,24,8,2.742625
1,1,500000,24,8,2.794576
1,1,500000,24,8,2.482939
1,1,500000,24,8,2.750046
1,1,500000,24,8,2.752316
1,1,500000,24,16,2.766549
1,1,500000,24,16,2.745761
1,1,500000,24,16,2.753707
1,1,500000,24,16,2.759999
1,1,500000,24,16,2.748579
1,1,500000,28,1,29.706186
1,1,500000,28,1,26.732171
1,1,500000,28,1,28.459249
1,1,500000,28,1,29.527774
1,1,500000,28,1,29.436121
1,1,500000,28,2,15.705816
1,1,500000,28,2,16.188989
1,1,500000,28,2,16.541064
1,1,500000,28,2,16.499182
1,1,500000,28,2,16.445822
1,1,500000,28,4,16.574542
1,1,500000,28,4,16.587216
1,1,500000,28,4,16.586415
1,1,500000,28,4,16.611848
1,1,500000,28,4,16.598799
1,1,500000,28,8,16.598484
1,1,500000,28,8,16.648266
1,1,500000,28,8,16.689992
1,1,500000,28,8,16.595149
1,1,500000,28,8,16.615513
1,1,500000,28,16,16.613832
1,1,500000,28,16,16.605972
1,1,500000,28,16,16.625063
1,1,500000,28,16,16.614424
1,1,500000,28,16,16.602252
1,1,1000000,20,1,1.533912
1,1,1000000,20,1,1.471970
1,1,1000000,20,1,1.741186
1,1,1000000,20,1,1.500571
1,1,1000000,20,1,1.474455
1,1,1000000,20,2,0.886665
1,1,1000000,20,2,0.923272
1,1,1000000,20,2,0.929799
1,1,1000000,20,2,0.869738
1,1,1000000,20,2,0.807049
1,1,1000000,20,4,0.872260
1,1,1000000,20,4,0.956836
1,1,1000000,20,4,0.914319
1,1,1000000,20,4,0.912647
1,1,1000000,20,4,0.911843
1,1,1000000,20,8,0.911792
1,1,1000000,20,8,0.913986
1,1,1000000,20,8,0.922426
1,1,1000000,20,8,0.918266
1,1,1000000,20,8,0.910405
1,1,1000000,20,16,0.914995
1,1,1000000,20,16,0.927441
1,1,1000000,20,16,0.913318
1,1,1000000,20,16,0.910062
1,1,1000000,20,16,0.916155
1,1,1000000,24,1,8.937313
1,1,1000000,24,1,8.843638
1,1,1000000,24,1,9.739830
1,1,1000000,24,1,9.795593
1,1,1000000,24,1,9.868325
1,1,1000000,24,2,5.266153
1,1,1000000,24,2,5.280708
1,1,1000000,24,2,5.250537
1,1,1000000,24,2,5.573047
1,1,1000000,24,2,5.265591
1,1,1000000,24,4,5.506133
1,1,1000000,24,4,5.475875
1,1,1000000,24,4,5.487853
1,1,1000000,24,4,5.485880
1,1,1000000,24,4,5.507895
1,1,1000000,24,8,5.537810
1,1,1000000,24,8,5.513600
1,1,1000000,24,8,5.527212
1,1,1000000,24,8,5.239960
1,1,1000000,24,8,5.509153
1,1,1000000,24,16,5.489152
