versao,n,threads,tempo_ms,checksum,repeticao
seq,100000,1,0.124931,1727500.00,1
seq,100000,1,0.061035,1727500.00,2
seq,100000,1,0.057936,1727500.00,3
seq,100000,1,0.289917,1727500.00,4
seq,100000,1,0.059128,1727500.00,5
seq,500000,1,0.638008,8637500.00,1
seq,500000,1,0.422001,8637500.00,2
seq,500000,1,0.681877,8637500.00,3
seq,500000,1,0.380993,8637500.00,4
seq,500000,1,0.502110,8637500.00,5
seq,1000000,1,0.844002,17275000.00,1
seq,1000000,1,4.761934,17275000.00,2
seq,1000000,1,1.759052,17275000.00,3
seq,1000000,1,0.753880,17275000.00,4
seq,1000000,1,0.991821,17275000.00,5
simd,100000,1,0.027180,1727500.00,1
simd,100000,1,0.022888,1727500.00,2
simd,100000,1,0.023842,1727500.00,3
simd,100000,1,0.030994,1727500.00,4
simd,100000,1,0.033855,1727500.00,5
simd,500000,1,0.416040,8637500.00,1
simd,500000,1,1.580954,8637500.00,2
simd,500000,1,0.740051,8637500.00,3
simd,500000,1,0.628948,8637500.00,4
simd,500000,1,0.715017,8637500.00,5
simd,1000000,1,1.144171,17275000.00,1
simd,1000000,1,1.228809,17275000.00,2
simd,1000000,1,0.778913,17275000.00,3
simd,1000000,1,1.105070,17275000.00,4
simd,1000000,1,0.598907,17275000.00,5
parallel_simd,100000,1,0.054121,1727500.00,1
parallel_simd,100000,1,0.053167,1727500.00,2
parallel_simd,100000,1,0.062943,1727500.00,3
parallel_simd,100000,1,0.072002,1727500.00,4
parallel_simd,100000,1,0.030994,1727500.00,5
parallel_simd,100000,2,0.036955,1727500.00,1
parallel_simd,100000,2,0.016928,1727500.00,2
parallel_simd,100000,2,0.015974,1727500.00,3
parallel_simd,100000,2,0.017881,1727500.00,4
parallel_simd,100000,2,0.021935,1727500.00,5
parallel_simd,100000,4,0.038862,1727500.00,1
parallel_simd,100000,4,0.013828,1727500.00,2
parallel_simd,100000,4,0.015020,1727500.00,3
parallel_simd,100000,4,0.014067,1727500.00,4
parallel_simd,100000,4,0.015020,1727500.00,5
parallel_simd,100000,8,0.134945,1727500.00,1
parallel_simd,100000,8,0.012159,1727500.00,2
parallel_simd,100000,8,0.023127,1727500.00,3
parallel_simd,100000,8,6.223917,1727500.00,4
parallel_simd,100000,8,0.162840,1727500.00,5
parallel_simd,100000,16,0.211000,1727500.00,1
parallel_simd,100000,16,0.133991,1727500.00,2
parallel_simd,100000,16,0.170946,1727500.00,3
parallel_simd,100000,16,0.174999,1727500.00,4
parallel_simd,100000,16,0.123024,1727500.00,5
parallel_simd,500000,1,0.434160,8637500.00,1
parallel_simd,500000,1,0.176907,8637500.00,2
parallel_simd,500000,1,1.518011,8637500.00,3
parallel_simd,500000,1,0.228882,8637500.00,4
parallel_simd,500000,1,0.828981,8637500.00,5
parallel_simd,500000,2,1.106024,8637500.00,1
parallel_simd,500000,2,0.583172,8637500.00,2
parallel_simd,500000,2,0.834942,8637500.00,3
parallel_simd,500000,2,0.264883,8637500.00,4
parallel_simd,500000,2,0.145912,8637500.00,5
parallel_simd,500000,4,0.911236,8637500.00,1
parallel_simd,500000,4,0.309944,8637500.00,2
parallel_simd,500000,4,0.345945,8637500.00,3
parallel_simd,500000,4,0.204086,8637500.00,4
parallel_simd,500000,4,0.823975,8637500.00,5
parallel_simd,500000,8,3.943920,8637500.00,1
parallel_simd,500000,8,0.140905,8637500.00,2
parallel_simd,500000,8,0.097990,8637500.00,3
parallel_simd,500000,8,2.026081,8637500.00,4
parallel_simd,500000,8,3.048897,8637500.00,5
parallel_simd,500000,16,0.452042,8637500.00,1
parallel_simd,500000,16,0.403881,8637500.00,2
parallel_simd,500000,16,0.393867,8637500.00,3
parallel_simd,500000,16,0.288010,8637500.00,4
parallel_simd,500000,16,0.391006,8637500.00,5
parallel_simd,1000000,1,0.739098,17275000.00,1
parallel_simd,1000000,1,2.310038,17275000.00,2
parallel_simd,1000000,1,0.934124,17275000.00,3
parallel_simd,1000000,1,0.795841,17275000.00,4
parallel_simd,1000000,1,1.415014,17275000.00,5
parallel_simd,1000000,2,1.053095,17275000.00,1
parallel_simd,1000000,2,1.070023,17275000.00,2
parallel_simd,1000000,2,2.071142,17275000.00,3
parallel_simd,1000000,2,0.977039,17275000.00,4
parallel_simd,1000000,2,1.066923,17275000.00,5
parallel_simd,1000000,4,1.933098,17275000.00,1
parallel_simd,1000000,4,0.720978,17275000.00,2
parallel_simd,1000000,4,0.709057,17275000.00,3
parallel_simd,1000000,4,1.071930,17275000.00,4
parallel_simd,1000000,4,1.940012,17275000.00,5
parallel_simd,1000000,8,2.504110,17275000.00,1
parallel_simd,1000000,8,0.781059,17275000.00,2
parallel_simd,1000000,8,1.235962,17275000.00,3
parallel_simd,1000000,8,1.504898,17275000.00,4
parallel_simd,1000000,8,4.321098,17275000.00,5
parallel_simd,1000000,16,0.887156,17275000.00,1
parallel_simd,1000000,16,0.873089,17275000.00,2
parallel_simd,1000000,16,0.848055,17275000.00,3
parallel_simd,1000000,16,0.766993,17275000.00,4
parallel_simd,1000000,16,0.775099,17275000.00,5
